species,birdID,date,longitude,latitude
Black-bellied plover,19,2017-07-07,-166.3367,64.8885
Black-bellied plover,19,2017-07-08,-166.3169,64.88
Black-bellied plover,19,2017-07-10,-166.327,64.8595
Black-bellied plover,19,2017-07-10,-166.3195,64.8677
Black-bellied plover,19,2017-07-12,-166.3118,64.8656
Black-bellied plover,19,2017-07-14,-165.6876,61.5097
Black-bellied plover,19,2017-07-14,-165.6926,61.5055
Black-bellied plover,19,2017-07-16,-165.6719,61.2433
Black-bellied plover,19,2017-07-16,-165.6731,61.2389
Black-bellied plover,19,2017-07-16,-165.6649,61.2355
Black-bellied plover,19,2017-07-18,-165.7698,61.5309
Black-bellied plover,19,2017-07-28,-165.8044,61.5115
Black-bellied plover,19,2017-07-28,-165.8937,61.4921
Black-bellied plover,19,2017-07-29,-165.8253,61.5315
Black-bellied plover,19,2017-07-30,-165.8954,61.5021
Black-bellied plover,19,2017-08-04,-165.7934,61.5162
Black-bellied plover,19,2017-08-06,-162.3038,58.4246
Black-bellied plover,19,2017-08-08,-135.6769,43.3892
Black-bellied plover,19,2017-08-10,-116.3119,31.1111
Black-bellied plover,19,2017-08-12,-116.311,31.118
Black-bellied plover,19,2017-08-29,-113.1888,26.7081
Black-bellied plover,19,2017-09-02,-113.1351,26.7224
Black-bellied plover,19,2017-09-08,-113.122,26.736
Black-bellied plover,19,2017-09-12,-113.1549,26.677
Black-bellied plover,19,2017-09-12,-113.148,26.6707
Black-bellied plover,19,2017-09-13,-113.1342,26.7283
Black-bellied plover,19,2017-11-06,-113.1642,26.7421
Black-bellied plover,19,2017-11-16,-113.1441,26.7395
Black-bellied plover,19,2017-12-01,-113.1285,26.7357
Black-bellied plover,19,2017-12-03,-113.1344,26.725
Black-bellied plover,19,2017-12-05,-113.1282,26.7281
Black-bellied plover,20,2017-07-06,-166.2646,64.8634
Black-bellied plover,20,2017-07-08,-166.2561,64.8711
Black-bellied plover,20,2017-07-08,-166.2634,64.8693
Black-bellied plover,20,2017-07-08,-166.2367,64.871
Black-bellied plover,20,2017-07-10,-163.937,63.1408
Black-bellied plover,20,2017-07-10,-163.9669,63.1353
Black-bellied plover,20,2017-07-10,-164.2293,63.0987
Black-bellied plover,20,2017-07-10,-164.2422,63.0942
Black-bellied plover,20,2017-07-16,-164.4455,62.9496
Black-bellied plover,20,2017-07-16,-164.4219,62.9563
Black-bellied plover,20,2017-07-18,-164.4951,62.7462
Black-bellied plover,20,2017-07-23,-164.5648,62.7068
Black-bellied plover,20,2017-07-25,-164.5851,62.6928
Black-bellied plover,20,2017-07-27,-163.0664,60.1105
Black-bellied plover,20,2017-07-29,-163.1091,60.1046
Black-bellied plover,20,2017-07-29,-163.1164,60.1157
Black-bellied plover,20,2017-07-31,-140.0084,53.8174
Black-bellied plover,20,2017-07-31,-139.7756,53.834
Black-bellied plover,20,2017-07-31,-138.1314,54.2092
Black-bellied plover,20,2017-07-31,-137.1689,54.0593
Black-bellied plover,20,2017-08-03,-124.6286,48.3758
Black-bellied plover,20,2017-08-05,-124.5694,48.3689
Black-bellied plover,20,2017-08-07,-124.0202,46.8527
Black-bellied plover,20,2017-08-07,-124.0411,46.849
Black-bellied plover,20,2017-08-09,-123.9934,46.2276
Black-bellied plover,20,2017-08-09,-124.0079,46.2218
Black-bellied plover,20,2017-08-11,-119.8417,36.1215
Black-bellied plover,20,2017-08-11,-119.8059,36.115
Black-bellied plover,20,2017-08-15,-119.8517,36.1315
Black-bellied plover,20,2017-08-20,-119.6485,35.9949
Black-bellied plover,20,2017-08-22,-116.0064,30.4464
Black-bellied plover,20,2017-08-22,-116.014,30.4429
Black-bellied plover,20,2017-09-08,-116.0057,30.4216
Black-bellied plover,20,2017-09-16,-116.0044,30.4183
Black-bellied plover,20,2017-11-07,-121.6172,38.5418
Black-bellied plover,20,2017-11-24,-121.7057,38.6477
Black-bellied plover,20,2017-11-28,-121.675,38.6554
Black-bellied plover,20,2017-11-30,-122.0591,39.5232
Black-bellied plover,20,2017-12-05,-122.0491,39.5081
Black-bellied plover,7,2017-07-21,-150.7094,70.4507
Black-bellied plover,7,2017-07-21,-150.6738,70.4558
Black-bellied plover,7,2017-07-28,-150.708,70.3679
Black-bellied plover,7,2017-07-30,-150.6973,70.445
Black-bellied plover,7,2017-08-01,-150.6707,70.446
Black-bellied plover,7,2017-08-01,-150.8615,70.4515
Black-bellied plover,7,2017-08-17,-113.3131,53.8696
Black-bellied plover,7,2017-08-17,-111.3698,52.2727
Black-bellied plover,7,2017-08-18,-111.1332,52.2504
Black-bellied plover,7,2017-08-22,-111.3377,51.6508
Black-bellied plover,7,2017-08-27,-111.2287,51.6399
Black-bellied plover,7,2017-08-29,-111.633,51.1368
Black-bellied plover,7,2017-08-29,-111.4851,51.0121
Black-bellied plover,7,2017-08-29,-111.3221,50.1304
Black-bellied plover,7,2017-08-31,-109.8852,26.9931
Black-bellied plover,7,2017-08-31,-109.7931,26.983
Black-bellied plover,7,2017-09-02,-109.7749,26.9654
Black-bellied plover,7,2017-09-02,-109.419,26.5344
Black-bellied plover,7,2017-09-12,-109.2833,25.7705
Black-bellied plover,7,2017-09-14,-109.2927,25.7629
Black-bellied plover,7,2017-09-18,-109.2781,25.7719
Black-bellied plover,7,2017-11-08,-109.2775,25.7999
Black-bellied plover,7,2017-11-17,-109.2617,25.7409
Black-bellied plover,7,2017-11-20,-109.2877,25.6952
Black-bellied plover,7,2017-12-04,-109.3225,25.6903
Black-bellied plover,7,2017-12-06,-109.2881,25.7582
Black-bellied plover,8,2017-07-07,-150.6684,70.4188
Black-bellied plover,8,2017-07-19,-150.6557,70.4207
Black-bellied plover,8,2017-07-27,-150.7301,70.5026
Black-bellied plover,8,2017-07-28,-150.7162,70.497
Black-bellied plover,8,2017-07-28,-150.7762,70.4846
Black-bellied plover,8,2017-08-04,-121.652,62.7635
Black-bellied plover,8,2017-08-04,-122.104,62.4015
Black-bellied plover,8,2017-08-04,-120.8369,60.6186
Black-bellied plover,8,2017-08-08,-108.4596,51.4814
Black-bellied plover,8,2017-08-11,-108.4562,51.4476
Black-bellied plover,8,2017-08-15,-108.442,51.3902
Black-bellied plover,8,2017-08-17,-93.4952,35.15
Black-bellied plover,8,2017-08-17,-92.1599,31.944
Black-bellied plover,8,2017-08-19,-91.366,29.4345
Black-bellied plover,8,2017-08-19,-91.3618,29.4127
Black-bellied plover,8,2017-08-20,-91.3711,29.4304
Black-bellied plover,8,2017-08-22,-91.4143,29.3699
Black-bellied plover,8,2017-09-11,-91.3652,29.3332
Black-bellied plover,8,2017-09-13,-91.3965,29.3587
Black-bellied plover,8,2017-09-18,-91.4007,29.3716
Black-bellied plover,8,2017-11-19,-91.2677,29.4237
Black-bellied plover,8,2017-11-29,-91.4434,29.3716
Black-bellied plover,8,2017-12-01,-91.4186,29.3611
Black-bellied plover,8,2017-12-03,-91.4813,29.346
Black-bellied plover,8,2017-12-06,-91.4248,29.3658
Black-crowned night heron,Parker,2016-06-24,-77.0727,38.9256
Black-crowned night heron,Parker,2016-09-14,-80.12,32.933
Black-crowned night heron,Parker,2016-09-15,-81.365,29.627
Black-crowned night heron,Parker,2016-09-16,-81.001,27.59
Black-crowned night heron,Parker,2016-09-20,-80.948,26.125
Black-crowned night heron,Parker,2016-09-22,-80.723,25.37
Black-crowned night heron,Parker,2016-09-23,-80.954,23.214
Black-crowned night heron,Parker,2016-09-24,-81.307,22.493
Black-crowned night heron,Parker,2016-09-26,-81.259,22.432
Black-crowned night heron,Parker,2016-10-07,-81.312,22.368
Black-crowned night heron,Parker,2016-10-07,-81.312,22.368
Black-crowned night heron,Parker,2016-10-16,-81.492,22.254
Black-crowned night heron,Parker,2016-11-16,-81.487,22.252
Black-crowned night heron,Parker,2017-05-11,-77.005,38.922
Black-crowned night heron,Parker,2017-05-22,-77.043,38.883
Black-crowned night heron,Parker,2017-05-27,-77.126,38.917
Black-crowned night heron,Parker,2017-05-27,-77.126,38.917
Black-crowned night heron,Parker,2017-08-06,-77.051,38.93
Black-crowned night heron,Parker,2017-08-21,-77.051,38.879
Black-crowned night heron,Parker,2017-08-28,-81.02,29.13
Black-crowned night heron,Parker,2017-08-28,-80.822,28.976
Black-crowned night heron,Parker,2017-08-30,-81.348,22.468
Black-crowned night heron,Parker,2017-09-14,-81.537,22.563
Black-crowned night heron,Smith,2016-07-02,-77.0536,38.9313
Black-crowned night heron,Smith,2016-07-17,-76.559,38.781
Black-crowned night heron,Smith,2016-07-17,-76.556,38.781
Black-crowned night heron,Smith,2016-07-17,-76.561,38.779
Black-crowned night heron,Smith,2016-07-19,-76.092,39.535
Black-crowned night heron,Smith,2016-07-30,-76.092,39.495
Black-crowned night heron,Smith,2016-09-07,-75.384,39.225
Black-crowned night heron,Smith,2016-09-28,-75.667,37.637
Black-crowned night heron,Smith,2016-10-28,-80.999,26.366
Black-crowned night heron,Smith,2016-11-04,-81.027,26.347
Black-crowned night heron,Smith,2016-11-13,-81.033,26.352
Black-crowned night heron,Smith,2017-02-02,-80.633,26.147
Black-crowned night heron,Smith,2017-02-07,-80.628,26.157
Black-crowned night heron,Smith,2017-03-29,-80.548,26.154
Black-crowned night heron,Smith,2017-04-01,-76.797,37.169
Black-crowned night heron,Smith,2017-05-15,-77.153,38.94
Black-crowned night heron,Smith,2017-06-30,-77.125,38.886
Black-crowned night heron,Smith,2017-06-30,-77.134,38.933
Black-crowned night heron,Smith,2017-08-06,-77.051,38.93
Black-crowned night heron,Smith,2017-08-21,-75.426,39.226
Black-crowned night heron,Smith,2017-11-12,-81.016,26.356
Black-crowned night heron,Smith,2017-11-27,-81.001,26.359
Black-crowned night heron,Smith,2017-12-02,-81.002,26.361
Brown pelican,Grindylow,2017-07-19,-76.0889,38.1507
Brown pelican,Grindylow,2017-07-20,-76.0647,38.1422
Brown pelican,Grindylow,2017-07-25,-76.3738,38.3282
Brown pelican,Grindylow,2017-07-27,-76.239,38.3344
Brown pelican,Grindylow,2017-07-31,-76.4254,38.2647
Brown pelican,Grindylow,2017-08-03,-76.2939,38.4173
Brown pelican,Grindylow,2017-08-04,-76.1478,38.2617
Brown pelican,Grindylow,2017-08-05,-75.9856,38.1802
Brown pelican,Grindylow,2017-08-07,-76.3902,38.3086
Brown pelican,Grindylow,2017-08-10,-76.3815,38.7652
Brown pelican,Grindylow,2017-08-10,-76.4724,38.74
Brown pelican,Grindylow,2017-08-10,-76.4391,38.8776
Brown pelican,Grindylow,2017-08-11,-76.3433,38.5186
Brown pelican,Grindylow,2017-08-16,-76.2886,38.1937
Brown pelican,Grindylow,2017-08-29,-76.0703,38.1857
Brown pelican,Grindylow,2017-09-08,-76.2084,38.3694
Brown pelican,Grindylow,2017-09-08,-76.1652,38.1393
Brown pelican,Grindylow,2017-09-11,-76.3187,38.3364
Brown pelican,Grindylow,2017-09-13,-76.1046,38.1195
Brown pelican,Grindylow,2017-09-15,-76.26,38.3747
Brown pelican,Grindylow,2017-11-23,-76.0144,37.1645
Brown pelican,Grindylow,2017-11-25,-75.7082,35.2154
Brown pelican,Grindylow,2017-11-29,-75.805,35.1158
Brown pelican,Grindylow,2017-12-03,-75.7608,35.2042
Brown pelican,Grindylow,2017-12-06,-75.7218,35.2174
Brown pelican,Plimpy,2017-07-19,-76.0889,38.1507
Brown pelican,Plimpy,2017-07-22,-76.1844,38.0815
Brown pelican,Plimpy,2017-07-22,-76.2011,38.1989
Brown pelican,Plimpy,2017-07-25,-76.0641,38.112
Brown pelican,Plimpy,2017-07-27,-76.2397,38.3088
Brown pelican,Plimpy,2017-07-27,-76.4641,38.3657
Brown pelican,Plimpy,2017-07-30,-76.1735,38.1607
Brown pelican,Plimpy,2017-08-01,-76.2252,38.1647
Brown pelican,Plimpy,2017-08-01,-76.2037,38.172
Brown pelican,Plimpy,2017-08-02,-76.0704,38.1338
Brown pelican,Plimpy,2017-08-04,-76.0623,38.1643
Brown pelican,Plimpy,2017-08-09,-76.205,38.1933
Brown pelican,Plimpy,2017-08-21,-76.0625,38.186
Brown pelican,Plimpy,2017-08-24,-76.2211,38.2642
Brown pelican,Plimpy,2017-08-27,-76.1108,37.9688
Brown pelican,Plimpy,2017-08-27,-76.1355,37.9535
Brown pelican,Plimpy,2017-08-30,-76.1864,38.2405
Brown pelican,Plimpy,2017-09-02,-75.962,38.1798
Brown pelican,Plimpy,2017-09-13,-76.0097,38.2155
Brown pelican,Plimpy,2017-11-24,-76.2266,37.8602
Brown pelican,Plimpy,2017-11-29,-75.9904,37.0698
Brown pelican,Plimpy,2017-12-01,-75.5119,35.7629
Brown pelican,Plimpy,2017-12-04,-76.0456,35.0979
Brown pelican,Plimpy,2017-12-06,-75.7816,35.2044
Brown pelican,Yeti,2017-07-19,-76.0889,38.1507
Brown pelican,Yeti,2017-07-28,-76.1329,38.2328
Brown pelican,Yeti,2017-07-30,-76.0355,37.9359
Brown pelican,Yeti,2017-07-30,-76.0217,37.9233
Brown pelican,Yeti,2017-07-30,-76.2988,37.9176
Brown pelican,Yeti,2017-07-30,-76.1681,37.9382
Brown pelican,Yeti,2017-08-01,-76.1106,38.2744
Brown pelican,Yeti,2017-08-02,-76.4048,38.2618
Brown pelican,Yeti,2017-08-02,-76.4109,38.2786
Brown pelican,Yeti,2017-08-02,-76.2386,38.3342
Brown pelican,Yeti,2017-08-05,-76.3954,38.2684
Brown pelican,Yeti,2017-08-07,-76.3723,38.2268
Brown pelican,Yeti,2017-08-07,-76.2488,38.3315
Brown pelican,Yeti,2017-08-13,-76.0935,38.1208
Brown pelican,Yeti,2017-08-21,-76.0761,38.1448
Brown pelican,Yeti,2017-08-24,-76.2454,38.0428
Brown pelican,Yeti,2017-08-27,-76.0378,37.9314
Brown pelican,Yeti,2017-08-29,-75.9305,38.1422
Brown pelican,Yeti,2017-09-04,-76.0699,38.1631
Brown pelican,Yeti,2017-09-13,-76.3508,38.3046
Brown pelican,Yeti,2017-09-13,-76.2119,38.3042
Brown pelican,Yeti,2017-09-17,-76.2547,38.3309
Brown pelican,Yeti,2017-11-29,-76.3648,38.2323
Brown pelican,Yeti,2017-11-29,-76.4111,38.2568
Brown pelican,Yeti,2017-12-01,-76.3927,38.2675
Brown pelican,Yeti,2017-12-04,-76.0185,37.9243
Brown pelican,Yeti,2017-12-06,-76.2429,37.8656
Long-billed curlew,141772,2017-03-18,-97.3135,27.4731
Long-billed curlew,141772,2017-03-21,-97.3278,27.4413
Long-billed curlew,141772,2017-03-31,-101.8206,33.8165
Long-billed curlew,141772,2017-04-02,-101.2301,37.9679
Long-billed curlew,141772,2017-04-02,-101.2199,37.9669
Long-billed curlew,141772,2017-04-07,-101.2469,38.1875
Long-billed curlew,141772,2017-06-05,-103.7578,43.2304
Long-billed curlew,141772,2017-06-09,-103.774,43.0881
Long-billed curlew,141772,2017-06-12,-103.9407,43.4184
Long-billed curlew,141772,2017-06-15,-103.77,43.4564
Long-billed curlew,141772,2017-06-22,-97.2752,27.5291
Long-billed curlew,141772,2017-06-24,-97.2843,27.4455
Long-billed curlew,141772,2017-06-25,-97.3283,27.4334
Long-billed curlew,141772,2017-07-19,-97.2766,27.5331
Long-billed curlew,141772,2017-08-08,-97.3303,27.4608
Long-billed curlew,141772,2017-08-18,-97.3254,27.4602
Long-billed curlew,141772,2017-08-20,-97.3274,27.4606
Long-billed curlew,141772,2017-08-23,-97.3265,27.4601
Long-billed curlew,141772,2017-08-25,-97.3304,27.4291
Long-billed curlew,141772,2017-08-28,-97.4493,27.5938
Long-billed curlew,141772,2017-09-04,-97.278,27.4551
Long-billed curlew,141772,2017-09-04,-97.2749,27.5371
Long-billed curlew,141772,2017-09-16,-97.2847,27.4521
Long-billed curlew,141772,2017-09-24,-97.3428,27.435
Long-billed curlew,141772,2017-09-26,-97.2907,27.4415
Long-billed curlew,141773,2017-03-19,-97.226,27.6332
Long-billed curlew,141773,2017-03-22,-97.2191,27.6408
Long-billed curlew,141773,2017-03-26,-102.2095,42.1482
Long-billed curlew,141773,2017-04-03,-102.2017,42.1579
Long-billed curlew,141773,2017-04-15,-102.2128,42.1699
Long-billed curlew,141773,2017-04-24,-102.2146,42.1564
Long-billed curlew,141773,2017-05-21,-102.1549,42.1367
Long-billed curlew,141773,2017-06-02,-102.1981,42.1539
Long-billed curlew,141773,2017-06-22,-102.2927,42.0751
Long-billed curlew,141773,2017-06-24,-102.2173,42.1659
Long-billed curlew,141773,2017-06-29,-97.2089,27.6365
